idx,x,y,timestamp
11,2446,2891,2025-09-12T15:36:45
12,2453,2955,2025-09-12T15:36:45
13,2456,3023,2025-09-12T15:36:45
14,2459,3094,2025-09-12T15:36:45
0,1863,3074,2025-09-12T15:36:51
1,2004,3016,2025-09-12T15:36:51
2,2304,3013,2025-09-12T15:36:51
3,2330,3065,2025-09-12T15:36:51
4,2404,3200,2025-09-12T15:36:51
5,2430,3252,2025-09-12T15:36:51
6,2124,2494,2025-09-12T15:36:51
7,2166,2543,2025-09-12T15:36:51
8,2224,2588,2025-09-12T15:36:51
9,2285,2620,2025-09-12T15:36:51
10,2436,2820,2025-09-12T15:36:51
11,2446,2891,2025-09-12T15:36:51
12,2453,2955,2025-09-12T15:36:51
13,2456,3023,2025-09-12T15:36:51
14,2459,3094,2025-09-12T15:36:51
15,2769,3294,2025-09-12T15:36:51
0,1863,3074,2025-09-12T15:37:00
1,2004,3016,2025-09-12T15:37:00
2,2304,3013,2025-09-12T15:37:00
3,2330,3065,2025-09-12T15:37:00
4,2404,3200,2025-09-12T15:37:00
5,2430,3252,2025-09-12T15:37:00
6,2124,2494,2025-09-12T15:37:00
7,2166,2543,2025-09-12T15:37:00
8,2224,2588,2025-09-12T15:37:00
9,2285,2620,2025-09-12T15:37:00
10,2436,2820,2025-09-12T15:37:00
11,2446,2891,2025-09-12T15:37:00
12,2453,2955,2025-09-12T15:37:00
13,2456,3023,2025-09-12T15:37:00
14,2459,3094,2025-09-12T15:37:00
15,2769,3294,2025-09-12T15:37:00
16,2717,2833,2025-09-12T15:37:00
0,1863,3074,2025-09-12T15:37:03
1,2004,3016,2025-09-12T15:37:03
2,2304,3013,2025-09-12T15:37:03
3,2330,3065,2025-09-12T15:37:03
4,2404,3200,2025-09-12T15:37:03
5,2430,3252,2025-09-12T15:37:03
6,2124,2494,2025-09-12T15:37:03
7,2166,2543,2025-09-12T15:37:03
8,2224,2588,2025-09-12T15:37:03
9,2285,2620,2025-09-12T15:37:03
10,2436,2820,2025-09-12T15:37:03
11,2446,2891,2025-09-12T15:37:03
12,2453,2955,2025-09-12T15:37:03
13,2456,3023,2025-09-12T15:37:03
14,2459,3094,2025-09-12T15:37:03
15,2769,3294,2025-09-12T15:37:03
16,2717,2833,2025-09-12T15:37:03
17,2820,2842,2025-09-12T15:37:03
0,1863,3074,2025-09-12T15:37:10
1,2004,3016,2025-09-12T15:37:10
2,2304,3013,2025-09-12T15:37:10
3,2330,3065,2025-09-12T15:37:10
4,2404,3200,2025-09-12T15:37:10
5,2430,3252,2025-09-12T15:37:10
6,2124,2494,2025-09-12T15:37:10
7,2166,2543,2025-09-12T15:37:10
8,2224,2588,2025-09-12T15:37:10
9,2285,2620,2025-09-12T15:37:10
10,2436,2820,2025-09-12T15:37:10
11,2446,2891,2025-09-12T15:37:10
12,2453,2955,2025-09-12T15:37:10
13,2456,3023,2025-09-12T15:37:10
14,2459,3094,2025-09-12T15:37:10
15,2769,3294,2025-09-12T15:37:10
16,2717,2833,2025-09-12T15:37:10
17,2820,2842,2025-09-12T15:37:10
18,2823,2836,2025-09-12T15:37:10
0,1863,3074,2025-09-12T15:37:31
1,2004,3016,2025-09-12T15:37:31
2,2304,3013,2025-09-12T15:37:31
3,2330,3065,2025-09-12T15:37:31
4,2404,3200,2025-09-12T15:37:31
5,2430,3252,2025-09-12T15:37:31
6,2124,2494,2025-09-12T15:37:31
7,2166,2543,2025-09-12T15:37:31
8,2224,2588,2025-09-12T15:37:31
9,2285,2620,2025-09-12T15:37:31
10,2436,2820,2025-09-12T15:37:31
11,2446,2891,2025-09-12T15:37:31
12,2453,2955,2025-09-12T15:37:31
13,2456,3023,2025-09-12T15:37:31
14,2459,3094,2025-09-12T15:37:31
15,2769,3294,2025-09-12T15:37:31
16,2717,2833,2025-09-12T15:37:31
17,2820,2842,2025-09-12T15:37:31
18,2823,2836,2025-09-12T15:37:31
19,3101,2604,2025-09-12T15:37:31
0,1863,3074,2025-09-12T15:37:37
1,2004,3016,2025-09-12T15:37:37
2,2304,3013,2025-09-12T15:37:37
3,2330,3065,2025-09-12T15:37:37
4,2404,3200,2025-09-12T15:37:37
5,2430,3252,2025-09-12T15:37:37
6,2124,2494,2025-09-12T15:37:37
7,2166,2543,2025-09-12T15:37:37
8,2224,2588,2025-09-12T15:37:37
9,2285,2620,2025-09-12T15:37:37
10,2436,2820,2025-09-12T15:37:37
11,2446,2891,2025-09-12T15:37:37
12,2453,2955,2025-09-12T15:37:37
13,2456,3023,2025-09-12T15:37:37
14,2459,3094,2025-09-12T15:37:37
15,2769,3294,2025-09-12T15:37:37
16,2717,2833,2025-09-12T15:37:37
17,2820,2842,2025-09-12T15:37:37
18,2823,2836,2025-09-12T15:37:37
19,3101,2604,2025-09-12T15:37:37
20,3094,2672,2025-09-12T15:37:37
0,1863,3074,2025-09-12T15:37:56
1,2004,3016,2025-09-12T15:37:56
2,2304,3013,2025-09-12T15:37:56
3,2330,3065,2025-09-12T15:37:56
4,2404,3200,2025-09-12T15:37:56
5,2430,3252,2025-09-12T15:37:56
6,2124,2494,2025-09-12T15:37:56
7,2166,2543,2025-09-12T15:37:56
8,2224,2588,2025-09-12T15:37:56
9,2285,2620,2025-09-12T15:37:56
10,2436,2820,2025-09-12T15:37:56
11,2446,2891,2025-09-12T15:37:56
12,2453,2955,2025-09-12T15:37:56
13,2456,3023,2025-09-12T15:37:56
14,2459,3094,2025-09-12T15:37:56
15,2769,3294,2025-09-12T15:37:56
16,2717,2833,2025-09-12T15:37:56
17,2820,2842,2025-09-12T15:37:56
18,2823,2836,2025-09-12T15:37:56
19,3101,2604,2025-09-12T15:37:56
20,3094,2672,2025-09-12T15:37:56
21,2920,3029,2025-09-12T15:37:56
0,1863,3074,2025-09-12T15:37:58
1,2004,3016,2025-09-12T15:37:58
2,2304,3013,2025-09-12T15:37:58
3,2330,3065,2025-09-12T15:37:58
4,2404,3200,2025-09-12T15:37:58
5,2430,3252,2025-09-12T15:37:58
6,2124,2494,2025-09-12T15:37:58
7,2166,2543,2025-09-12T15:37:58
8,2224,2588,2025-09-12T15:37:58
9,2285,2620,2025-09-12T15:37:58
10,2436,2820,2025-09-12T15:37:58
11,2446,2891,2025-09-12T15:37:58
12,2453,2955,2025-09-12T15:37:58
13,2456,3023,2025-09-12T15:37:58
14,2459,3094,2025-09-12T15:37:58
15,2769,3294,2025-09-12T15:37:58
16,2717,2833,2025-09-12T15:37:58
17,2820,2842,2025-09-12T15:37:58
18,2823,2836,2025-09-12T15:37:58
19,3101,2604,2025-09-12T15:37:58
20,3094,2672,2025-09-12T15:37:58
21,2920,3029,2025-09-12T15:37:58
22,2968,3052,2025-09-12T15:37:58
0,1863,3074,2025-09-12T15:38:12
1,2004,3016,2025-09-12T15:38:12
2,2304,3013,2025-09-12T15:38:12
3,2330,3065,2025-09-12T15:38:12
4,2404,3200,2025-09-12T15:38:12
5,2430,3252,2025-09-12T15:38:12
6,2124,2494,2025-09-12T15:38:12
7,2166,2543,2025-09-12T15:38:12
8,2224,2588,2025-09-12T15:38:12
9,2285,2620,2025-09-12T15:38:12
10,2436,2820,2025-09-12T15:38:12
11,2446,2891,2025-09-12T15:38:12
12,2453,2955,2025-09-12T15:38:12
13,2456,3023,2025-09-12T15:38:12
14,2459,3094,2025-09-12T15:38:12
15,2769,3294,2025-09-12T15:38:12
16,2717,2833,2025-09-12T15:38:12
17,2820,2842,2025-09-12T15:38:12
18,2823,2836,2025-09-12T15:38:12
19,3101,2604,2025-09-12T15:38:12
20,3094,2672,2025-09-12T15:38:12
21,2920,3029,2025-09-12T15:38:12
22,2968,3052,2025-09-12T15:38:12
23,2865,3000,2025-09-12T15:38:12
0,1863,3074,2025-09-12T15:38:26
1,2004,3016,2025-09-12T15:38:26
2,2304,3013,2025-09-12T15:38:26
3,2330,3065,2025-09-12T15:38:26
4,2404,3200,2025-09-12T15:38:26
5,2430,3252,2025-09-12T15:38:26
6,2124,2494,2025-09-12T15:38:26
7,2166,2543,2025-09-12T15:38:26
8,2224,2588,2025-09-12T15:38:26
9,2285,2620,2025-09-12T15:38:26
10,2436,2820,2025-09-12T15:38:26
11,2446,2891,2025-09-12T15:38:26
12,2453,2955,2025-09-12T15:38:26
13,2456,3023,2025-09-12T15:38:26
14,2459,3094,2025-09-12T15:38:26
15,2769,3294,2025-09-12T15:38:26
16,2717,2833,2025-09-12T15:38:26
17,2820,2842,2025-09-12T15:38:26
18,2823,2836,2025-09-12T15:38:26
19,3101,2604,2025-09-12T15:38:26
20,3094,2672,2025-09-12T15:38:26
21,2920,3029,2025-09-12T15:38:26
22,2968,3052,2025-09-12T15:38:26
23,2865,3000,2025-09-12T15:38:26
24,3355,2243,2025-09-12T15:38:26
0,1863,3074,2025-09-12T15:38:27
1,2004,3016,2025-09-12T15:38:27
2,2304,3013,2025-09-12T15:38:27
3,2330,3065,2025-09-12T15:38:27
4,2404,3200,2025-09-12T15:38:27
5,2430,3252,2025-09-12T15:38:27
6,2124,2494,2025-09-12T15:38:27
7,2166,2543,2025-09-12T15:38:27
8,2224,2588,2025-09-12T15:38:27
9,2285,2620,2025-09-12T15:38:27
10,2436,2820,2025-09-12T15:38:27
11,2446,2891,2025-09-12T15:38:27
12,2453,2955,2025-09-12T15:38:27
13,2456,3023,2025-09-12T15:38:27
14,2459,3094,2025-09-12T15:38:27
15,2769,3294,2025-09-12T15:38:27
16,2717,2833,2025-09-12T15:38:27
17,2820,2842,2025-09-12T15:38:27
18,2823,2836,2025-09-12T15:38:27
19,3101,2604,2025-09-12T15:38:27
20,3094,2672,2025-09-12T15:38:27
21,2920,3029,2025-09-12T15:38:27
22,2968,3052,2025-09-12T15:38:27
23,2865,3000,2025-09-12T15:38:27
24,3355,2243,2025-09-12T15:38:27
25,3346,1933,2025-09-12T15:38:27
0,1863,3074,2025-09-12T15:38:29
1,2004,3016,2025-09-12T15:38:29
2,2304,3013,2025-09-12T15:38:29
3,2330,3065,2025-09-12T15:38:29
4,2404,3200,2025-09-12T15:38:29
5,2430,3252,2025-09-12T15:38:29
6,2124,2494,2025-09-12T15:38:29
7,2166,2543,2025-09-12T15:38:29
8,2224,2588,2025-09-12T15:38:29
9,2285,2620,2025-09-12T15:38:29
10,2436,2820,2025-09-12T15:38:29
11,2446,2891,2025-09-12T15:38:29
12,2453,2955,2025-09-12T15:38:29
13,2456,3023,2025-09-12T15:38:29
14,2459,3094,2025-09-12T15:38:29
15,2769,3294,2025-09-12T15:38:29
16,2717,2833,2025-09-12T15:38:29
17,2820,2842,2025-09-12T15:38:29
18,2823,2836,2025-09-12T15:38:29
19,3101,2604,2025-09-12T15:38:29
20,3094,2672,2025-09-12T15:38:29
21,2920,3029,2025-09-12T15:38:29
22,2968,3052,2025-09-12T15:38:29
23,2865,3000,2025-09-12T15:38:29
24,3355,2243,2025-09-12T15:38:29
25,3346,1933,2025-09-12T15:38:29
26,3291,1940,2025-09-12T15:38:29
0,1863,3074,2025-09-12T15:38:36
1,2004,3016,2025-09-12T15:38:36
2,2304,3013,2025-09-12T15:38:36
3,2330,3065,2025-09-12T15:38:36
4,2404,3200,2025-09-12T15:38:36
5,2430,3252,2025-09-12T15:38:36
6,2124,2494,2025-09-12T15:38:36
7,2166,2543,2025-09-12T15:38:36
8,2224,2588,2025-09-12T15:38:36
9,2285,2620,2025-09-12T15:38:36
10,2436,2820,2025-09-12T15:38:36
11,2446,2891,2025-09-12T15:38:36
12,2453,2955,2025-09-12T15:38:36
13,2456,3023,2025-09-12T15:38:36
14,2459,3094,2025-09-12T15:38:36
15,2769,3294,2025-09-12T15:38:36
16,2717,2833,2025-09-12T15:38:36
17,2820,2842,2025-09-12T15:38:36
18,2823,2836,2025-09-12T15:38:36
19,3101,2604,2025-09-12T15:38:36
20,3094,2672,2025-09-12T15:38:36
21,2920,3029,2025-09-12T15:38:36
22,2968,3052,2025-09-12T15:38:36
23,2865,3000,2025-09-12T15:38:36
24,3355,2243,2025-09-12T15:38:36
25,3346,1933,2025-09-12T15:38:36
26,3291,1940,2025-09-12T15:38:36
27,3368,2140,2025-09-12T15:38:36
0,1863,3074,2025-09-12T15:38:47
1,2004,3016,2025-09-12T15:38:47
2,2304,3013,2025-09-12T15:38:47
3,2330,3065,2025-09-12T15:38:47
4,2404,3200,2025-09-12T15:38:47
5,2430,3252,2025-09-12T15:38:47
6,2124,2494,2025-09-12T15:38:47
7,2166,2543,2025-09-12T15:38:47
8,2224,2588,2025-09-12T15:38:47
9,2285,2620,2025-09-12T15:38:47
10,2436,2820,2025-09-12T15:38:47
11,2446,2891,2025-09-12T15:38:47
12,2453,2955,2025-09-12T15:38:47
13,2456,3023,2025-09-12T15:38:47
14,2459,3094,2025-09-12T15:38:47
15,2769,3294,2025-09-12T15:38:47
16,2717,2833,2025-09-12T15:38:47
17,2820,2842,2025-09-12T15:38:47
18,2823,2836,2025-09-12T15:38:47
19,3101,2604,2025-09-12T15:38:47
20,3094,2672,2025-09-12T15:38:47
21,2920,3029,2025-09-12T15:38:47
22,2968,3052,2025-09-12T15:38:47
23,2865,3000,2025-09-12T15:38:47
24,3355,2243,2025-09-12T15:38:47
25,3346,1933,2025-09-12T15:38:47
26,3291,1940,2025-09-12T15:38:47
27,3368,2140,2025-09-12T15:38:47
28,4439,1198,2025-09-12T15:38:47
0,1863,3074,2025-09-12T15:38:49
1,2004,3016,2025-09-12T15:38:49
2,2304,3013,2025-09-12T15:38:49
3,2330,3065,2025-09-12T15:38:49
4,2404,3200,2025-09-12T15:38:49
5,2430,3252,2025-09-12T15:38:49
6,2124,2494,2025-09-12T15:38:49
7,2166,2543,2025-09-12T15:38:49
8,2224,2588,2025-09-12T15:38:49
9,2285,2620,2025-09-12T15:38:49
10,2436,2820,2025-09-12T15:38:49
11,2446,2891,2025-09-12T15:38:49
12,2453,2955,2025-09-12T15:38:49
13,2456,3023,2025-09-12T15:38:49
14,2459,3094,2025-09-12T15:38:49
15,2769,3294,2025-09-12T15:38:49
16,2717,2833,2025-09-12T15:38:49
17,2820,2842,2025-09-12T15:38:49
18,2823,2836,2025-09-12T15:38:49
19,3101,2604,2025-09-12T15:38:49
20,3094,2672,2025-09-12T15:38:49
21,2920,3029,2025-09-12T15:38:49
22,2968,3052,2025-09-12T15:38:49
23,2865,3000,2025-09-12T15:38:49
24,3355,2243,2025-09-12T15:38:49
25,3346,1933,2025-09-12T15:38:49
26,3291,1940,2025-09-12T15:38:49
27,3368,2140,2025-09-12T15:38:49
28,4439,1198,2025-09-12T15:38:49
29,4464,1418,2025-09-12T15:38:49
0,1863,3074,2025-09-12T15:38:52
1,2004,3016,2025-09-12T15:38:52
2,2304,3013,2025-09-12T15:38:52
3,2330,3065,2025-09-12T15:38:52
4,2404,3200,2025-09-12T15:38:52
5,2430,3252,2025-09-12T15:38:52
6,2124,2494,2025-09-12T15:38:52
7,2166,2543,2025-09-12T15:38:52
8,2224,2588,2025-09-12T15:38:52
9,2285,2620,2025-09-12T15:38:52
10,2436,2820,2025-09-12T15:38:52
11,2446,2891,2025-09-12T15:38:52
12,2453,2955,2025-09-12T15:38:52
13,2456,3023,2025-09-12T15:38:52
14,2459,3094,2025-09-12T15:38:52
15,2769,3294,2025-09-12T15:38:52
16,2717,2833,2025-09-12T15:38:52
17,2820,2842,2025-09-12T15:38:52
18,2823,2836,2025-09-12T15:38:52
19,3101,2604,2025-09-12T15:38:52
20,3094,2672,2025-09-12T15:38:52
21,2920,3029,2025-09-12T15:38:52
22,2968,3052,2025-09-12T15:38:52
23,2865,3000,2025-09-12T15:38:52
24,3355,2243,2025-09-12T15:38:52
25,3346,1933,2025-09-12T15:38:52
26,3291,1940,2025-09-12T15:38:52
27,3368,2140,2025-09-12T15:38:52
28,4439,1198,2025-09-12T15:38:52
29,4464,1418,2025-09-12T15:38:52
30,4416,1659,2025-09-12T15:38:52
0,1863,3074,2025-09-12T15:38:55
1,2004,3016,2025-09-12T15:38:55
2,2304,3013,2025-09-12T15:38:55
3,2330,3065,2025-09-12T15:38:55
4,2404,3200,2025-09-12T15:38:55
5,2430,3252,2025-09-12T15:38:55
6,2124,2494,2025-09-12T15:38:55
7,2166,2543,2025-09-12T15:38:55
8,2224,2588,2025-09-12T15:38:55
9,2285,2620,2025-09-12T15:38:55
10,2436,2820,2025-09-12T15:38:55
11,2446,2891,2025-09-12T15:38:55
12,2453,2955,2025-09-12T15:38:55
13,2456,3023,2025-09-12T15:38:55
14,2459,3094,2025-09-12T15:38:55
15,2769,3294,2025-09-12T15:38:55
16,2717,2833,2025-09-12T15:38:55
17,2820,2842,2025-09-12T15:38:55
18,2823,2836,2025-09-12T15:38:55
19,3101,2604,2025-09-12T15:38:55
20,3094,2672,2025-09-12T15:38:55
21,2920,3029,2025-09-12T15:38:55
22,2968,3052,2025-09-12T15:38:55
23,2865,3000,2025-09-12T15:38:55
24,3355,2243,2025-09-12T15:38:55
25,3346,1933,2025-09-12T15:38:55
26,3291,1940,2025-09-12T15:38:55
27,3368,2140,2025-09-12T15:38:55
28,4439,1198,2025-09-12T15:38:55
29,4464,1418,2025-09-12T15:38:55
30,4416,1659,2025-09-12T15:38:55
31,4423,1766,2025-09-12T15:38:55
0,1863,3074,2025-09-12T15:39:07
1,2004,3016,2025-09-12T15:39:07
2,2304,3013,2025-09-12T15:39:07
3,2330,3065,2025-09-12T15:39:07
4,2404,3200,2025-09-12T15:39:07
5,2430,3252,2025-09-12T15:39:07
6,2124,2494,2025-09-12T15:39:07
7,2166,2543,2025-09-12T15:39:07
8,2224,2588,2025-09-12T15:39:07
9,2285,2620,2025-09-12T15:39:07
10,2436,2820,2025-09-12T15:39:07
11,2446,2891,2025-09-12T15:39:07
12,2453,2955,2025-09-12T15:39:07
13,2456,3023,2025-09-12T15:39:07
14,2459,3094,2025-09-12T15:39:07
15,2769,3294,2025-09-12T15:39:07
16,2717,2833,2025-09-12T15:39:07
17,2820,2842,2025-09-12T15:39:07
18,2823,2836,2025-09-12T15:39:07
19,3101,2604,2025-09-12T15:39:07
20,3094,2672,2025-09-12T15:39:07
21,2920,3029,2025-09-12T15:39:07
22,2968,3052,2025-09-12T15:39:07
23,2865,3000,2025-09-12T15:39:07
24,3355,2243,2025-09-12T15:39:07
25,3346,1933,2025-09-12T15:39:07
26,3291,1940,2025-09-12T15:39:07
27,3368,2140,2025-09-12T15:39:07
28,4439,1198,2025-09-12T15:39:07
29,4464,1418,2025-09-12T15:39:07
30,4416,1659,2025-09-12T15:39:07
31,4423,1766,2025-09-12T15:39:07
32,4490,1927,2025-09-12T15:39:07
0,1863,3074,2025-09-12T15:39:11
1,2004,3016,2025-09-12T15:39:11
2,2304,3013,2025-09-12T15:39:11
3,2330,3065,2025-09-12T15:39:11
4,2404,3200,2025-09-12T15:39:11
5,2430,3252,2025-09-12T15:39:11
6,2124,2494,2025-09-12T15:39:11
7,2166,2543,2025-09-12T15:39:11
8,2224,2588,2025-09-12T15:39:11
9,2285,2620,2025-09-12T15:39:11
10,2436,2820,2025-09-12T15:39:11
11,2446,2891,2025-09-12T15:39:11
12,2453,2955,2025-09-12T15:39:11
13,2456,3023,2025-09-12T15:39:11
14,2459,3094,2025-09-12T15:39:11
15,2769,3294,2025-09-12T15:39:11
16,2717,2833,2025-09-12T15:39:11
17,2820,2842,2025-09-12T15:39:11
18,2823,2836,2025-09-12T15:39:11
19,3101,2604,2025-09-12T15:39:11
20,3094,2672,2025-09-12T15:39:11
21,2920,3029,2025-09-12T15:39:11
22,2968,3052,2025-09-12T15:39:11
23,2865,3000,2025-09-12T15:39:11
24,3355,2243,2025-09-12T15:39:11
25,3346,1933,2025-09-12T15:39:11
26,3291,1940,2025-09-12T15:39:11
27,3368,2140,2025-09-12T15:39:11
28,4439,1198,2025-09-12T15:39:11
29,4464,1418,2025-09-12T15:39:11
30,4416,1659,2025-09-12T15:39:11
31,4423,1766,2025-09-12T15:39:11
32,4490,1927,2025-09-12T15:39:11
33,4497,2101,2025-09-12T15:39:11
0,1863,3074,2025-09-12T15:39:28
1,2004,3016,2025-09-12T15:39:28
2,2304,3013,2025-09-12T15:39:28
3,2330,3065,2025-09-12T15:39:28
4,2404,3200,2025-09-12T15:39:28
5,2430,3252,2025-09-12T15:39:28
6,2124,2494,2025-09-12T15:39:28
7,2166,2543,2025-09-12T15:39:28
8,2224,2588,2025-09-12T15:39:28
9,2285,2620,2025-09-12T15:39:28
10,2436,2820,2025-09-12T15:39:28
11,2446,2891,2025-09-12T15:39:28
12,2453,2955,2025-09-12T15:39:28
13,2456,3023,2025-09-12T15:39:28
14,2459,3094,2025-09-12T15:39:28
15,2769,3294,2025-09-12T15:39:28
16,2717,2833,2025-09-12T15:39:28
17,2820,2842,2025-09-12T15:39:28
18,2823,2836,2025-09-12T15:39:28
19,3101,2604,2025-09-12T15:39:28
20,3094,2672,2025-09-12T15:39:28
21,2920,3029,2025-09-12T15:39:28
22,2968,3052,2025-09-12T15:39:28
23,2865,3000,2025-09-12T15:39:28
24,3355,2243,2025-09-12T15:39:28
25,3346,1933,2025-09-12T15:39:28
26,3291,1940,2025-09-12T15:39:28
27,3368,2140,2025-09-12T15:39:28
28,4439,1198,2025-09-12T15:39:28
29,4464,1418,2025-09-12T15:39:28
30,4416,1659,2025-09-12T15:39:28
31,4423,1766,2025-09-12T15:39:28
32,4490,1927,2025-09-12T15:39:28
33,4497,2101,2025-09-12T15:39:28
34,3326,1666,2025-09-12T15:39:28
0,1863,3074,2025-09-12T15:39:32
1,2004,3016,2025-09-12T15:39:32
2,2304,3013,2025-09-12T15:39:32
3,2330,3065,2025-09-12T15:39:32
4,2404,3200,2025-09-12T15:39:32
5,2430,3252,2025-09-12T15:39:32
6,2124,2494,2025-09-12T15:39:32
7,2166,2543,2025-09-12T15:39:32
8,2224,2588,2025-09-12T15:39:32
9,2285,2620,2025-09-12T15:39:32
10,2436,2820,2025-09-12T15:39:32
11,2446,2891,2025-09-12T15:39:32
12,2453,2955,2025-09-12T15:39:32
13,2456,3023,2025-09-12T15:39:32
14,2459,3094,2025-09-12T15:39:32
15,2769,3294,2025-09-12T15:39:32
16,2717,2833,2025-09-12T15:39:32
17,2820,2842,2025-09-12T15:39:32
18,2823,2836,2025-09-12T15:39:32
19,3101,2604,2025-09-12T15:39:32
20,3094,2672,2025-09-12T15:39:32
21,2920,3029,2025-09-12T15:39:32
22,2968,3052,2025-09-12T15:39:32
23,2865,3000,2025-09-12T15:39:32
24,3355,2243,2025-09-12T15:39:32
25,3346,1933,2025-09-12T15:39:32
26,3291,1940,2025-09-12T15:39:32
27,3368,2140,2025-09-12T15:39:32
28,4439,1198,2025-09-12T15:39:32
29,4464,1418,2025-09-12T15:39:32
30,4416,1659,2025-09-12T15:39:32
31,4423,1766,2025-09-12T15:39:32
32,4490,1927,2025-09-12T15:39:32
33,4497,2101,2025-09-12T15:39:32
34,3326,1666,2025-09-12T15:39:32
